,edit_count,sentiment,neg_sentiment
2014-05-05,2.1333333333333333,0.11919683533134284,0.09277777777777778
2014-05-06,1.9666666666666666,0.0928308534346245,0.09277777777777778
2014-05-07,1.9666666666666666,0.0928308534346245,0.09277777777777778
2014-05-08,1.9666666666666666,0.0928308534346245,0.09277777777777778
2014-05-09,1.1666666666666667,0.07128395374174472,0.09
2014-05-10,0.8666666666666667,0.08333454421272984,0.06777777777777777
2014-05-11,0.5333333333333333,0.06616745304178309,0.06111111111111111
2014-05-12,0.4666666666666667,0.06763113251438849,0.04444444444444444
2014-05-13,0.43333333333333335,0.042693767061939954,0.04444444444444444
2014-05-14,0.43333333333333335,0.042693767061939954,0.04444444444444444
2014-05-15,0.43333333333333335,0.042693767061939954,0.04444444444444444
2014-05-16,0.43333333333333335,0.042693767061939954,0.04444444444444444
2014-05-17,0.13333333333333333,0.03240969181060791,0.03333333333333333
2014-05-18,0.1,0.0020443658034006757,0.03333333333333333
2014-05-19,0.1,0.0020443658034006757,0.03333333333333333
2014-05-20,0.1,0.0020443658034006757,0.03333333333333333
2014-05-21,0.1,0.0020443658034006757,0.03333333333333333
2014-05-22,0.1,0.0020443658034006757,0.03333333333333333
2014-05-23,0.1,0.0020443658034006757,0.03333333333333333
2014-05-24,0.03333333333333333,-0.03120858073234558,0.03333333333333333
2014-05-25,0.03333333333333333,-0.03120858073234558,0.03333333333333333
2014-05-26,0.03333333333333333,-0.03120858073234558,0.03333333333333333
2014-05-27,0.03333333333333333,-0.03120858073234558,0.03333333333333333
2014-05-28,0.0,0.0,0.0
2014-05-29,0.0,0.0,0.0
2014-05-30,0.0,0.0,0.0
2014-05-31,0.0,0.0,0.0
2014-06-01,0.03333333333333333,0.03252765734990438,0.0
2014-06-02,0.03333333333333333,0.03252765734990438,0.0
2014-06-03,0.03333333333333333,0.03252765734990438,0.0
2014-06-04,0.03333333333333333,0.03252765734990438,0.0
2014-06-05,0.03333333333333333,0.03252765734990438,0.0
2014-06-06,0.03333333333333333,0.03252765734990438,0.0
2014-06-07,0.03333333333333333,0.03252765734990438,0.0
2014-06-08,0.03333333333333333,0.03252765734990438,0.0
2014-06-09,0.03333333333333333,0.03252765734990438,0.0
2014-06-10,0.06666666666666667,0.06584482987721761,0.0
2014-06-11,0.06666666666666667,0.06584482987721761,0.0
2014-06-12,0.06666666666666667,0.06584482987721761,0.0
2014-06-13,0.06666666666666667,0.06584482987721761,0.0
2014-06-14,0.06666666666666667,0.06584482987721761,0.0
2014-06-15,0.06666666666666667,0.06584482987721761,0.0
2014-06-16,0.06666666666666667,0.06584482987721761,0.0
2014-06-17,0.06666666666666667,0.06584482987721761,0.0
2014-06-18,0.06666666666666667,0.06584482987721761,0.0
2014-06-19,0.06666666666666667,0.06584482987721761,0.0
2014-06-20,0.06666666666666667,0.06584482987721761,0.0
2014-06-21,0.06666666666666667,0.06584482987721761,0.0
2014-06-22,0.06666666666666667,0.06584482987721761,0.0
2014-06-23,0.06666666666666667,0.06584482987721761,0.0
2014-06-24,0.06666666666666667,0.06584482987721761,0.0
2014-06-25,0.06666666666666667,0.06584482987721761,0.0
2014-06-26,0.06666666666666667,0.06584482987721761,0.0
2014-06-27,0.06666666666666667,0.06584482987721761,0.0
2014-06-28,0.06666666666666667,0.06584482987721761,0.0
2014-06-29,0.1,0.09078219532966614,0.0
2014-06-30,0.1,0.09078219532966614,0.0
2014-07-01,0.1,0.08734040260314942,0.0
2014-07-02,0.1,0.08734040260314942,0.0
2014-07-03,0.1,0.08734040260314942,0.0
2014-07-04,0.1,0.08734040260314942,0.0
2014-07-05,0.1,0.08734040260314942,0.0
2014-07-06,0.1,0.08734040260314942,0.0
2014-07-07,0.1,0.08734040260314942,0.0
2014-07-08,0.1,0.08734040260314942,0.0
2014-07-09,0.1,0.08734040260314942,0.0
2014-07-10,0.06666666666666667,0.05402323007583618,0.0
2014-07-11,0.06666666666666667,0.05402323007583618,0.0
2014-07-12,0.06666666666666667,0.05402323007583618,0.0
2014-07-13,0.06666666666666667,0.05402323007583618,0.0
2014-07-14,0.06666666666666667,0.05402323007583618,0.0
2014-07-15,0.06666666666666667,0.05402323007583618,0.0
2014-07-16,0.06666666666666667,0.05402323007583618,0.0
2014-07-17,0.06666666666666667,0.05402323007583618,0.0
2014-07-18,0.06666666666666667,0.05402323007583618,0.0
2014-07-19,0.06666666666666667,0.05402323007583618,0.0
2014-07-20,0.06666666666666667,0.05402323007583618,0.0
2014-07-21,0.06666666666666667,0.05402323007583618,0.0
2014-07-22,0.06666666666666667,0.05402323007583618,0.0
2014-07-23,0.06666666666666667,0.05402323007583618,0.0
2014-07-24,0.06666666666666667,0.05402323007583618,0.0
2014-07-25,0.06666666666666667,0.05402323007583618,0.0
2014-07-26,0.06666666666666667,0.05402323007583618,0.0
2014-07-27,0.1,0.08727617661158243,0.0
2014-07-28,0.3333333333333333,0.09054622139249528,0.014285714285714285
2014-07-29,0.3333333333333333,0.0905462213924953,0.014285714285714285
2014-07-30,0.3333333333333333,0.0905462213924953,0.014285714285714285
2014-07-31,0.3,0.06146035676910764,0.014285714285714285
2014-08-01,0.3,0.06146035676910764,0.014285714285714285
2014-08-02,0.3,0.06146035676910764,0.014285714285714285
2014-08-03,0.3333333333333333,0.028522520122073947,0.04761904761904762
2014-08-04,0.3333333333333333,0.028522520122073947,0.04761904761904762
2014-08-05,0.3333333333333333,0.028522520122073947,0.04761904761904762
2014-08-06,0.36666666666666664,0.0014201748938787561,0.08095238095238096
